user_id,signup_date,country,language,region_tier,age_group,primary_device,acquisition_channel,student_eligible,marketing_opt_in,music_persona
U000001,2026-02-06,UK,en,Tier 1,35-44,mobile_android,organic_search,0,0,commute_listener
U000002,2026-03-07,ES,es,Tier 2,25-34,mobile_android,paid_social,0,0,playlist_builder
U000003,2025-07-29,IN,en,Tier 2,18-24,mobile_android,referral,0,0,casual_listener
U000004,2025-11-14,FR,fr,Tier 1,35-44,mobile_android,referral,0,1,commute_listener
U000005,2025-05-21,US,en,Tier 1,25-34,mobile_ios,student_partner,1,0,casual_listener
U000006,2026-03-09,US,en,Tier 1,25-34,mobile_android,email_campaign,0,0,commute_listener
U000007,2025-12-17,US,en,Tier 1,18-24,desktop,email_campaign,1,0,playlist_builder
U000008,2026-01-19,MX,es,Tier 2,25-34,desktop,app_store,0,1,social_listener
U000009,2026-03-06,FR,fr,Tier 1,18-24,mobile_ios,paid_social,1,1,playlist_builder
U000010,2025-12-21,IN,en,Tier 2,18-24,mobile_android,paid_social,1,0,casual_listener
U000011,2025-07-01,US,en,Tier 1,55+,mobile_ios,paid_social,0,0,casual_listener
U000012,2025-05-11,KR,ko,Tier 1,25-34,desktop,app_store,1,1,casual_listener
U000013,2025-01-13,JP,ja,Tier 1,25-34,mobile_ios,referral,0,1,casual_listener
U000014,2025-12-28,US,en,Tier 1,25-34,mobile_android,organic_search,0,1,commute_listener
U000015,2025-09-17,US,en,Tier 1,18-24,mobile_ios,influencer,0,1,casual_listener
U000016,2025-08-08,US,en,Tier 1,35-44,mobile_android,organic_search,0,0,playlist_builder
U000017,2025-03-29,US,en,Tier 1,18-24,mobile_android,referral,0,1,discovery_seeker
U000018,2025-12-26,DE,de,Tier 1,35-44,mobile_android,app_store,0,1,discovery_seeker
U000019,2025-04-13,CA,en,Tier 1,25-34,mobile_android,paid_social,0,0,commute_listener
U000020,2026-01-25,US,en,Tier 1,18-24,mobile_ios,app_store,0,1,commute_listener
U000021,2025-10-09,FR,fr,Tier 1,18-24,desktop,organic_search,1,1,discovery_seeker
U000022,2025-12-28,US,en,Tier 1,35-44,mobile_ios,influencer,0,0,commute_listener
U000023,2025-11-13,US,en,Tier 1,25-34,mobile_android,paid_social,0,1,low_intent_new
U000024,2025-10-19,UK,en,Tier 1,25-34,web,app_store,0,0,commute_listener
U000025,2025-10-28,CA,en,Tier 1,18-24,mobile_ios,paid_social,0,0,casual_listener
U000026,2025-09-09,BR,pt,Tier 2,35-44,mobile_android,app_store,0,1,casual_listener
U000027,2026-02-11,US,en,Tier 1,18-24,mobile_ios,organic_search,0,0,low_intent_new
U000028,2025-11-10,DE,de,Tier 1,25-34,web,referral,0,0,casual_listener
U000029,2026-02-18,FR,fr,Tier 1,18-24,mobile_ios,email_campaign,0,1,casual_listener
U000030,2025-04-15,US,en,Tier 1,18-24,mobile_ios,influencer,1,0,casual_listener
U000031,2025-09-12,FR,fr,Tier 1,25-34,mobile_android,student_partner,0,0,playlist_builder
U000032,2025-10-09,US,en,Tier 1,18-24,mobile_android,referral,0,0,commute_listener
U000033,2025-07-03,US,en,Tier 1,45-54,desktop,organic_search,0,1,discovery_seeker
U000034,2026-02-04,ES,es,Tier 2,25-34,desktop,organic_search,0,0,playlist_builder
U000035,2026-01-01,KR,ko,Tier 1,45-54,smart_speaker,organic_search,0,1,podcast_heavy
U000036,2025-08-10,BR,pt,Tier 2,25-34,mobile_ios,app_store,0,0,discovery_seeker
U000037,2025-09-09,US,en,Tier 1,13-17,mobile_ios,app_store,0,1,podcast_heavy
U000038,2025-04-03,US,en,Tier 1,25-34,web,paid_social,1,0,playlist_builder
U000039,2025-09-14,IN,en,Tier 2,18-24,web,organic_search,0,1,low_intent_new
U000040,2025-05-21,CA,en,Tier 1,25-34,mobile_ios,organic_search,0,0,commute_listener
U000041,2026-02-05,US,en,Tier 1,25-34,mobile_android,organic_search,0,1,podcast_heavy
U000042,2025-09-24,DE,de,Tier 1,35-44,mobile_android,organic_search,0,0,commute_listener
U000043,2025-08-16,US,en,Tier 1,13-17,mobile_android,referral,0,1,podcast_heavy
U000044,2025-12-20,MX,es,Tier 2,35-44,desktop,organic_search,0,1,casual_listener
U000045,2025-08-11,US,en,Tier 1,25-34,mobile_ios,referral,0,1,discovery_seeker
U000046,2025-10-21,AU,en,Tier 1,25-34,mobile_ios,organic_search,1,0,discovery_seeker
U000047,2025-04-01,US,en,Tier 1,18-24,mobile_ios,paid_social,0,1,social_listener
